Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Semantic Change Sets In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count;
gmfgen_1.235.ecore;1872;8020;gmfgen_1.236.ecore;1882;8054;-1;0,158;0,016;0;rr:deleteEOperationInEClass;0,016;rr:setEReferenceUnique;0,000;0,016;0;rr:deleteEOperationInEClass;0,016;rr:extractEClass;0,000;5472;rr:setEReferenceUnique;5472;rr:setEReferenceUnique;5472;23132;rr:setEReferenceUnique;23132;rr:setEReferenceUnique;23132;5472;23132;5;0;15;0;0;1245;20;0;20;0;156;0;27;25;137;136;73;137;
gmfgen_1.236.ecore;1882;8054;gmfgen_1.237.ecore;1884;8061;-1;0,141;0,016;0;rr:deleteEOperationInEClass;0,016;rr:setEReferenceUnique;0,000;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;5473;rr:setEReferenceUnique;5473;rr:setEReferenceUnique;5473;23132;rr:setEReferenceUnique;23132;rr:setEReferenceUnique;23132;5473;23132;1;0;3;0;0;1250;4;0;4;0;156;0;27;25;137;136;73;137;
gmfgen_1.237.ecore;1884;8061;gmfgen_1.238.ecore;1886;8071;-1;0,140;0,015;0;rr:deleteEOperationInEClass;0,015;rr:setEReferenceUnique;0,000;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;5478;rr:setEReferenceUnique;5478;rr:setEReferenceUnique;5478;23152;rr:setEReferenceUnique;23152;rr:setEReferenceUnique;23152;5478;23152;1;0;3;0;0;1251;4;0;4;0;156;0;27;25;137;136;73;137;
gmfgen_1.238.ecore;1886;8071;gmfgen_1.239.ecore;1901;8129;-1;0,248;0,015;0;rr:deleteEOperationInEClass;0,015;rr:setEReferenceUnique;0,000;0,124;0;rr:deleteEOperationInEClass;0,078;rr:extractEClass;0,001;5527;rr:setEReferenceUnique;5527;rr:setEReferenceUnique;5527;23329;rr:setEReferenceUnique;23329;rr:setEReferenceUnique;23329;5527;23329;10;0;25;0;0;1252;35;0;35;0;156;0;27;25;137;136;73;137;
gmfgen_1.239.ecore;1901;8129;gmfgen_1.240.ecore;1871;8034;-1;0,531;0,015;0;rr:deleteEOperationInEClass;0,015;rr:setEReferenceUnique;0,000;0,391;0;rr:deleteEOperationInEClass;0,344;rr:remove_empty_referenced_EClass;0,003;5532;rr:setEReferenceUnique;5532;rr:setEReferenceUnique;5532;23364;rr:setEReferenceUnique;23364;rr:setEReferenceUnique;23364;5532;23364;0;18;0;45;0;1244;63;0;63;0;156;0;27;25;137;136;73;137;
gmfgen_1.240.ecore;1871;8034;gmfgen_1.241.ecore;1931;8124;-1;29,813;0,016;0;rr:deleteEOperationInEClass;0,016;rr:setEReferenceUnique;0,000;29,657;0;rr:deleteEOperationInEClass;28,798;rr:create_referenced_EClass;0,190;5705;rr:setEReferenceUnique;5705;rr:setEReferenceUnique;5705;23838;rr:setEReferenceUnique;23838;rr:setEReferenceUnique;23838;5705;23838;60;0;90;0;59;1243;209;0;209;0;156;0;27;25;137;136;73;137;
gmfgen_1.241.ecore;1931;8124;gmfgen_1.242.ecore;1927;8110;-1;0,172;0,015;0;rr:deleteEOperationInEClass;0,015;rr:setEReferenceUnique;0,000;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;5618;rr:setEReferenceUnique;5618;rr:setEReferenceUnique;5618;23400;rr:setEReferenceUnique;23400;rr:setEReferenceUnique;23400;5618;23400;0;2;0;6;0;1301;8;0;8;0;156;0;27;25;137;136;73;137;
gmfgen_1.242.ecore;1927;8110;gmfgen_1.243.ecore;1940;8167;-1;0,452;0,015;0;rr:deleteEOperationInEClass;0,015;rr:setEReferenceUnique;0,000;0,328;0;rr:deleteEOperationInEClass;0,187;rr:create_referenced_EClass;0,002;5688;rr:setEReferenceUnique;5688;rr:setEReferenceUnique;5688;23656;rr:setEReferenceUnique;23656;rr:setEReferenceUnique;23656;5688;23656;15;5;38;14;2;1296;74;0;74;0;156;0;27;25;137;136;73;137;
gmfgen_1.243.ecore;1940;8167;gmfgen_1.244.ecore;1878;8074;-1;34,398;0,032;0;rr:deleteEOperationInEClass;0,032;rr:setEReferenceUnique;0,000;34,195;0;rr:setEReferenceDefaultValueLiteral;33,462;rr:remove_empty_referenced_EClass;0,219;5703;rr:setEReferenceUnique;5703;rr:setEReferenceUnique;5703;23839;rr:setEReferenceUnique;23839;rr:setEReferenceUnique;23839;5703;23839;0;62;0;93;30;1249;185;0;185;0;156;0;27;25;137;136;73;137;
gmfgen_1.244.ecore;1878;8074;gmfgen_1.245.ecore;1878;8074;-1;0,141;0,016;0;rr:deleteEOperationInEClass;0,016;rr:setEReferenceUnique;0,000;0,016;0;rr:deleteEOperationInEClass;0,016;rr:create_sub_EClass;0,000;5486;rr:setEReferenceUnique;5486;rr:setEReferenceUnique;5486;23234;rr:setEReferenceUnique;23234;rr:setEReferenceUnique;23234;5486;23234;6;4;12;12;0;1245;34;0;34;0;156;0;27;25;137;136;73;137;
