Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Low Level Changes In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count
String;Integer;Integer;String;Integer;Integer;Decimal;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer
149;1463;6145;150;1479;6210;0;0,087;0,070;0;rr:setEEnumLiteralName;0,018;rr:createEEnumInEPackage;0,002;0,077;0;rr:rename_EENumLiteral;0,022;rr:createEAttribute_IN_EClass;0,002;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4074;17197;9;0;25;0;2;984;36;36;0;26;31;148;8;0;21;0;20;20;
150;1479;6210;151;1486;6238;0;0,091;0,034;0;rr:createEStringToStringMapEntry_IN_EAnnotation;0,017;rr:createBidirectionalReference;0,002;0,049;0;rr:setEReference_eOpposite_TO_EReference;0,024;rr:createBidirectionalReference;0,003;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4075;17230;5;0;13;0;0;993;18;18;0;13;15;164;14;0;46;0;0;0;
151;1486;6238;152;1500;6310;0,001;0,123;0,100;0;rr:setEEnumLiteralName;0,018;rr:rename_EOperation;0,002;0,191;0;rr:setEEnumLiteralName;0,035;rr:createOppositeReference;0,004;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4137;17471;7;0;24;1;1;998;33;33;0;34;51;128;20;0;72;9;20;28;
152;1500;6310;153;1522;6405;0;0,063;0,017;0;rr:createEOperation_IN_EClass;0,017;rr:setEAttribute_eType_TO_EClassifier;0,002;0,010;0;rr:setEParameter_eType_TO_EClassifier;0,007;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4181;17638;11;0;33;0;0;1005;44;44;0;28;7;172;4;0;13;0;0;0;
153;1522;6405;154;1524;6415;0;0,059;0,017;0;rr:setEParameter_eType_TO_EClassifier;0,017;rr:setEAttribute_eType_TO_EClassifier;0,003;0,007;0;rr:setEParameter_eType_TO_EClassifier;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4149;17541;1;0;3;0;0;1016;4;4;0;3;6;173;3;0;11;0;0;0;
154;1524;6415;155;1526;6425;0,001;0,062;0,018;0;rr:setEParameter_eType_TO_EClassifier;0,018;rr:setEAttribute_eType_TO_EClassifier;0,003;0,007;0;rr:setEParameter_eType_TO_EClassifier;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4154;17564;1;0;3;0;0;1017;4;4;0;3;6;173;3;0;11;0;0;0;
155;1526;6425;156;1530;6445;0;0,061;0,017;0;rr:setEParameter_eType_TO_EClassifier;0,017;rr:setEAttribute_eType_TO_EClassifier;0,003;0,007;0;rr:createEAttribute_IN_EClass;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4168;17622;2;0;6;0;0;1018;8;8;0;6;6;173;3;0;11;0;0;0;
156;1530;6445;157;1536;6472;0,001;0,060;0,017;0;rr:createEOperation_IN_EClass;0,017;rr:setEAttribute_eType_TO_EClassifier;0,002;0,008;0;rr:createEOperation_IN_EClass;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4188;17705;3;0;9;0;0;1020;12;12;0;8;7;172;4;0;13;0;0;0;
157;1536;6472;158;1534;6473;0,001;0,174;0,053;0;rr:pull_up_EAttribute;0,018;rr:changeBidirectionalReferenceType;0,002;0,123;0;rr:changeEReferenceType;0,103;rr:move_EAttribute_to_neighbour;0,004;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4203;17778;1;2;7;10;0;1021;20;20;0;10;29;150;1;5;37;48;0;30;
158;1534;6473;159;1536;6483;0;0,060;0,018;0;rr:setEParameter_eType_TO_EClassifier;0,018;rr:setEAttribute_eType_TO_EClassifier;0,003;0,007;0;rr:setEParameter_eType_TO_EClassifier;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4179;17695;1;0;3;0;0;1022;4;4;0;3;6;173;3;0;11;0;0;0;
159;1536;6483;160;1542;6510;0,001;0,060;0,017;0;rr:createEOperation_IN_EClass;0,017;rr:setEAttribute_eType_TO_EClassifier;0,002;0,008;0;rr:createEOperation_IN_EClass;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4203;17790;3;0;9;0;0;1023;12;12;0;8;7;172;4;0;13;0;0;0;
160;1542;6510;161;1540;6500;0,001;0,174;0,070;0;rr:setEEnumLiteralName;0,018;rr:rename_EOperation;0,002;0,122;0;rr:setEEnumLiteralName;0,106;rr:move_EAttribute_to_neighbour;0,004;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4204;17801;0;1;2;5;1;1025;9;9;0;8;34;145;0;4;16;30;20;35;
161;1540;6500;162;1546;6527;0;0,061;0,018;0;rr:createEOperation_IN_EClass;0,018;rr:setEAttribute_eType_TO_EClassifier;0,003;0,008;0;rr:createEOperation_IN_EClass;0,007;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4213;17830;3;0;9;0;0;1025;12;12;0;8;7;172;4;0;13;0;0;0;
162;1546;6527;163;1548;6537;0;0,174;0,068;0;rr:setEEnumLiteralName;0,017;rr:rename_EOperation;0,002;0,138;0;rr:setEEnumLiteralName;0,101;rr:move_EAttribute_to_neighbour;0,004;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4218;17855;1;0;5;2;1;1028;9;9;0;7;34;145;3;1;25;16;20;31;
163;1548;6537;164;1525;6452;0;0,182;0,070;0;rr:pull_up_EAttribute;0,018;rr:push_down_EOperation;0,002;0,160;0;rr:pull_up_EAttribute;0,106;rr:move_EAttribute_to_neighbour;0,004;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4270;18049;1;16;5;38;2;1013;62;62;0;36;40;139;3;16;40;73;2;37;
164;1525;6452;165;1525;6452;0;0,052;0,017;0;rr:setEEnumLiteralValue;0,017;rr:setEStringToStringMapEntryValue;0,009;0,002;0;rr:setEEnumLiteralValue;0,002;rr:setEStringToStringMapEntryValue;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4143;17586;0;0;0;0;1;1014;1;1;0;1;2;177;0;0;0;0;2;2;
165;1525;6452;166;1529;6472;0,001;0,061;0,018;0;rr:createEOperation_IN_EClass;0,018;rr:setEAttribute_eType_TO_EClassifier;0,003;0,008;0;rr:createEOperation_IN_EClass;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4163;17669;2;0;6;0;0;1014;8;8;0;5;7;172;4;0;13;0;0;0;
166;1529;6472;167;1525;6452;0;0,054;0,018;0;rr:setEOperation_eType_TO_EClassifier;0,018;rr:deleteEOperation_IN_EClass;0,003;0,001;0;rr:setEOperation_eType_TO_EClassifier;0,001;rr:deleteEAttribute_IN_EClass;0,000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4163;17669;0;2;0;6;0;1014;8;8;0;5;7;172;0;4;0;13;0;0;
167;1525;6452;168;1525;6452;0,001;0,054;0,017;0;rr:setEAttributeChangeable;0,017;rr:setEReferenceChangeable;0,009;0,001;0;rr:setEAttributeChangeable;0,001;rr:setEReferenceChangeable;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4143;17586;0;0;0;0;1;1014;1;1;0;1;2;177;0;0;0;0;2;2;
