Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Low Level Changes In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count
String;Integer;Integer;String;Integer;Integer;Decimal;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer
149;1463;6145;150;1479;6210;N/A;3,005;26,474;0,009;rr:moveETypeParameter_FROM_EOperation_eTypeParameters_TO_EOperation_EOperation;0,337;rr:setEReferenceChangeable;0,148;0,221;0;rr:setEAttributeOrdered;0,165;rr:move_EAttribute_to_neighbour;0,001;1198;rr:setEReference_eOpposite_TO_EReference;2523;rr:createEAnnotation_IN_EModelElement;1541,793;4066;rr:setEReference_eOpposite_TO_EReference;14955;rr:createEAnnotation_IN_EModelElement;8174,693;4076;17205;9;0;25;0;2;984;36;36;0;28;179;0;36;29;158;146;75;136;
150;1479;6210;151;1486;6238;N/A;2,895;27,755;0,009;rr:setEReferenceName;0,341;rr:moveEDataType_FROM_EPackage_eClassifiers_TO_EPackage_EPackage;0,155;0,165;0;rr:setEEnumLiteralName;0,107;rr:move_EAttribute_to_neighbour;0,001;1209;rr:setEReference_eOpposite_TO_EReference;2550;rr:createEAnnotation_IN_EModelElement;1553,547;4071;rr:setEReference_eOpposite_TO_EReference;15041;rr:createEAnnotation_IN_EModelElement;8195,268;4075;17230;5;0;13;0;0;993;18;18;0;13;179;0;36;29;158;146;75;136;
151;1486;6238;152;1500;6310;N/A;2,965;26,602;0,008;rr:setEReferenceVolatile;0,335;rr:rename_EReference;0,149;0,247;0;rr:setEEnumLiteralName;0,165;rr:move_EAttribute_to_neighbour;0,001;1218;rr:setEReference_eOpposite_TO_EReference;2561;rr:createEAnnotation_IN_EModelElement;1565,883;4143;rr:setEReference_eOpposite_TO_EReference;15157;rr:createEAnnotation_IN_EModelElement;8292,140;4137;17471;7;0;24;1;1;998;33;33;0;34;179;0;36;29;158;146;75;136;
152;1500;6310;153;1522;6405;N/A;2,933;27,966;0,011;rr:setEEnumLiteralLiteral;0,391;rr:createETypeParameter_IN_EClassifier;0,156;0,202;0;rr:setEEnumLiteralName;0,160;rr:move_EAttribute_to_neighbour;0,001;1227;rr:setEReference_eOpposite_TO_EReference;2586;rr:createEAnnotation_IN_EModelElement;1581,754;4179;rr:setEReference_eOpposite_TO_EReference;15314;rr:createEAnnotation_IN_EModelElement;8380,274;4181;17638;11;0;33;0;0;1005;44;44;0;28;179;0;36;29;158;146;75;136;
153;1522;6405;154;1524;6415;N/A;2,920;28,085;0,013;rr:moveOppositeReference;0,345;rr:deleteETypeParameter_IN_EOperation;0,157;0,138;0;rr:setEEnumLiteralName;0,107;rr:move_EAttribute_to_neighbour;0,001;1238;rr:setEReference_eOpposite_TO_EReference;2609;rr:createEAnnotation_IN_EModelElement;1593,279;4147;rr:setEReference_eOpposite_TO_EReference;15363;rr:createEAnnotation_IN_EModelElement;8371,067;4149;17541;1;0;3;0;0;1016;4;4;0;3;179;0;36;29;158;146;75;136;
154;1524;6415;155;1526;6425;N/A;2,930;28,313;0,011;rr:setEAttributeIDNOT;0,352;rr:setEOperationOrdered;0,158;0,138;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;1239;rr:setEReference_eOpposite_TO_EReference;2612;rr:createEAnnotation_IN_EModelElement;1595,374;4150;rr:setEReference_eOpposite_TO_EReference;15382;rr:createEAnnotation_IN_EModelElement;8382,112;4154;17564;1;0;3;0;0;1017;4;4;0;3;179;0;36;29;158;146;75;136;
155;1526;6425;156;1530;6445;N/A;2,922;28,196;0,006;rr:setEDataTypeInstanceTypeName;0,377;rr:moveEDataType_FROM_EPackage_eClassifiers_TO_EPackage_EPackage;0,158;0,201;0;rr:setEEnumLiteralName;0,167;rr:move_EAttribute_to_neighbour;0,001;1240;rr:setEReference_eOpposite_TO_EReference;2616;rr:createEAnnotation_IN_EModelElement;1598,469;4160;rr:setEReference_eOpposite_TO_EReference;15416;rr:createEAnnotation_IN_EModelElement;8405,492;4168;17622;2;0;6;0;0;1018;8;8;0;6;179;0;36;29;158;146;75;136;
156;1530;6445;157;1536;6472;N/A;2,933;28,115;0,011;rr:deleteEParameter_IN_EOperation;0,357;rr:removeFromEAnnotation_references_EObject;0,157;0,204;0;rr:setEEnumLiteralName;0,162;rr:move_EAttribute_to_neighbour;0,001;1242;rr:setEReference_eOpposite_TO_EReference;2623;rr:createEAnnotation_IN_EModelElement;1603,413;4172;rr:setEReference_eOpposite_TO_EReference;15465;rr:createEAnnotation_IN_EModelElement;8437,140;4188;17705;3;0;9;0;0;1020;12;12;0;8;179;0;36;29;158;146;75;136;
157;1536;6472;158;1534;6473;N/A;2,982;29,102;0,011;rr:moveEObjectRefContentsToEAnnotation;0,358;rr:changeEAttributeType;0,163;0,142;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;1243;rr:setEReference_eOpposite_TO_EReference;2626;rr:createEAnnotation_IN_EModelElement;1606,156;4185;rr:setEReference_eOpposite_TO_EReference;15502;rr:createEAnnotation_IN_EModelElement;8464,034;4203;17778;1;2;7;10;0;1021;20;20;0;10;179;0;36;29;158;146;75;136;
158;1534;6473;159;1536;6483;N/A;2,936;27,755;0,010;rr:setEReference_eOpposite_TO_EReference;0,342;rr:rename_EReference;0,155;0,165;0;rr:setEEnumLiteralName;0,110;rr:move_EAttribute_to_neighbour;0,001;1244;rr:setEReference_eOpposite_TO_EReference;2627;rr:createEAnnotation_IN_EModelElement;1605,134;4165;rr:setEReference_eOpposite_TO_EReference;15493;rr:createEAnnotation_IN_EModelElement;8442,341;4179;17695;1;0;3;0;0;1022;4;4;0;3;179;0;36;29;158;146;75;136;
159;1536;6483;160;1542;6510;N/A;2,978;27,919;0,011;rr:setEEnumInstanceClassName;0,362;rr:extractSubEClass;0,156;0,147;0;rr:setEEnumLiteralName;0,107;rr:move_EAttribute_to_neighbour;0,001;1245;rr:setEReference_eOpposite_TO_EReference;2632;rr:createEAnnotation_IN_EModelElement;1608,983;4181;rr:setEReference_eOpposite_TO_EReference;15538;rr:createEAnnotation_IN_EModelElement;8475,279;4203;17790;3;0;9;0;0;1023;12;12;0;8;179;0;36;29;158;146;75;136;
160;1542;6510;161;1540;6500;N/A;2,925;26,271;0,008;rr:setEReferenceName;0,374;rr:setEReferenceUnsettable;0,147;0,139;0;rr:setEAttributeOrdered;0,107;rr:move_EAttribute_to_neighbour;0,001;1247;rr:setEReference_eOpposite_TO_EReference;2636;rr:createEAnnotation_IN_EModelElement;1611,425;4184;rr:setEReference_eOpposite_TO_EReference;15554;rr:createEAnnotation_IN_EModelElement;8482,704;4204;17801;0;1;2;5;1;1025;9;9;0;8;179;0;36;29;158;146;75;136;
161;1540;6500;162;1546;6527;N/A;3,021;29,890;0,006;rr:rename_EParameter;0,385;rr:rename_eattribute;0,167;0,142;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;1247;rr:setEReference_eOpposite_TO_EReference;2638;rr:createEAnnotation_IN_EModelElement;1612,458;4187;rr:setEReference_eOpposite_TO_EReference;15570;rr:createEAnnotation_IN_EModelElement;8492,296;4213;17830;3;0;9;0;0;1025;12;12;0;8;179;0;36;29;158;146;75;136;
162;1546;6527;163;1548;6537;N/A;2,987;28,140;0,012;rr:removeFromEAnnotation_references_EObject;0,365;rr:moveEClass_FROM_EPackage_eClassifiers_TO_EPackage_EPackage;0,157;0,147;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;1250;rr:setEReference_eOpposite_TO_EReference;2645;rr:createEAnnotation_IN_EModelElement;1617,028;4192;rr:setEReference_eOpposite_TO_EReference;15604;rr:createEAnnotation_IN_EModelElement;8509,872;4218;17855;1;0;5;2;1;1028;9;9;0;7;179;0;36;29;158;146;75;136;
163;1548;6537;164;1525;6452;N/A;3,014;29,043;0,007;rr:setEAttributeIDNOT;0,397;rr:deleteEDataType_IN_EPackage;0,162;0,151;0;rr:setEEnumLiteralName;0,109;rr:move_EAttribute_to_neighbour;0,001;1235;rr:setEReference_eOpposite_TO_EReference;2638;rr:deleteEAnnotation_IN_EModelElement;1602;4229;rr:setEReference_eOpposite_TO_EReference;15625;rr:deleteEAnnotation_IN_EModelElement;8530,134;4270;18049;1;16;5;38;2;1013;62;62;0;36;179;0;36;29;158;146;75;136;
164;1525;6452;165;1525;6452;N/A;2,913;27,520;0,007;rr:setEDataTypeSerializable;0,343;rr:flattenHierarchy;0,154;0,121;0;rr:setEEnumLiteralName;0,110;rr:move_EAttribute_to_neighbour;0,001;1236;rr:setEReference_eOpposite_TO_EReference;2612;rr:createEAnnotation_IN_EModelElement;1596,061;4136;rr:setEReference_eOpposite_TO_EReference;15418;rr:createEAnnotation_IN_EModelElement;8396,648;4143;17586;0;0;0;0;1;1014;1;1;0;1;179;0;36;29;158;146;75;136;
165;1525;6452;166;1529;6472;N/A;2,969;28,237;0,016;rr:deleteEReferenceInEClass;0,361;rr:moveEPackage_FROM_EPackage_eSubpackages_TO_EPackage_EPackage;0,158;0,151;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;1236;rr:setEReference_eOpposite_TO_EReference;2614;rr:createEAnnotation_IN_EModelElement;1598,235;4147;rr:setEReference_eOpposite_TO_EReference;15445;rr:createEAnnotation_IN_EModelElement;8419,899;4163;17669;2;0;6;0;0;1014;8;8;0;5;179;0;36;29;158;146;75;136;
166;1529;6472;167;1525;6452;N/A;2,948;27,804;0,007;rr:addToEAnnotation_references_EObject;0,343;rr:setEStringToStringMapEntryKey;0,155;0,184;0;rr:setEEnumLiteralName;0,166;rr:move_EAttribute_to_neighbour;0,001;1236;rr:setEReference_eOpposite_TO_EReference;2614;rr:createEAnnotation_IN_EModelElement;1598,134;4147;rr:setEReference_eOpposite_TO_EReference;15445;rr:createEAnnotation_IN_EModelElement;8419,525;4163;17669;0;2;0;6;0;1014;8;8;0;5;179;0;36;29;158;146;75;136;
167;1525;6452;168;1525;6452;N/A;2,901;29,159;0,012;rr:setEParameterName;0,387;rr:rename_EEnum;0,163;0,124;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;1236;rr:setEReference_eOpposite_TO_EReference;2612;rr:createEAnnotation_IN_EModelElement;1596,061;4136;rr:setEReference_eOpposite_TO_EReference;15418;rr:createEAnnotation_IN_EModelElement;8396,648;4143;17586;0;0;0;0;1;1014;1;1;0;1;179;0;36;29;158;146;75;136;
168;1525;6452;169;1524;6450;N/A;2,991;27,521;0,007;rr:setEReferenceUnique;0,346;rr:setEOperationUpperBound;0,154;0,183;0;rr:setEAttributeOrdered;0,165;rr:move_EAttribute_to_neighbour;0,001;1235;rr:setEReference_eOpposite_TO_EReference;2610;rr:createEAnnotation_IN_EModelElement;1595,039;4135;rr:setEReference_eOpposite_TO_EReference;15415;rr:createEAnnotation_IN_EModelElement;8395,453;4145;17599;0;1;0;2;0;1013;3;3;0;1;179;0;36;29;158;146;75;136;
169;1524;6450;170;1528;6470;N/A;2,954;27,772;0,012;rr:setEEnumSerializable;0,392;rr:pull_up_EOperation;0,155;0,134;0;rr:setEEnumLiteralName;0,107;rr:move_EAttribute_to_neighbour;0,001;1235;rr:setEReference_eOpposite_TO_EReference;2611;rr:createEAnnotation_IN_EModelElement;1597,112;4144;rr:setEReference_eOpposite_TO_EReference;15438;rr:createEAnnotation_IN_EModelElement;8416,207;4160;17662;2;0;6;0;0;1013;8;8;0;5;179;0;36;29;158;146;75;136;
170;1528;6470;171;1516;6406;N/A;3,037;28,101;0,009;rr:setEReferenceVolatile;0,341;rr:createEClassAsInterfaceInEPackage;0,157;0,177;0;rr:setEEnumLiteralName;0,164;rr:move_EAttribute_to_neighbour;0,001;1231;rr:setEReference_eOpposite_TO_EReference;2603;rr:createEAnnotation_IN_EModelElement;1592,782;4159;rr:setEReference_eOpposite_TO_EReference;15417;rr:createEAnnotation_IN_EModelElement;8418,726;4175;17701;0;6;0;18;0;1009;24;24;0;16;179;0;36;29;158;146;75;136;
171;1516;6406;172;1512;6386;N/A;2,917;28,719;0,011;rr:setEEnumInstanceClassName;0,373;rr:setETypeParameterName;0,160;0,170;0;rr:setEEnumLiteralName;0,163;rr:move_EAttribute_to_neighbour;0,001;1229;rr:setEReference_eOpposite_TO_EReference;2593;rr:createEAnnotation_IN_EModelElement;1585,872;4126;rr:setEReference_eOpposite_TO_EReference;15316;rr:createEAnnotation_IN_EModelElement;8350,547;4130;17516;0;2;0;6;0;1007;8;8;0;5;179;0;36;29;158;146;75;136;
172;1512;6386;173;1516;6406;N/A;2,913;26,765;0,007;rr:setEAttributeUnsettable;0,360;rr:addToEClass_eSuperTypes_EClass;0,150;0,136;0;rr:setEEnumLiteralName;0,107;rr:move_EAttribute_to_neighbour;0,001;1229;rr:setEReference_eOpposite_TO_EReference;2593;rr:createEAnnotation_IN_EModelElement;1586,218;4127;rr:setEReference_eOpposite_TO_EReference;15317;rr:createEAnnotation_IN_EModelElement;8352,324;4129;17511;2;0;6;0;0;1007;8;8;0;6;179;0;36;29;158;146;75;136;
173;1516;6406;174;1526;6482;N/A;3;28,765;0,006;rr:setEEnumSerializable;0,348;rr:removeFromEReference_eKeys_EAttribute;0,161;0,195;0;rr:setEEnumLiteralName;0,110;rr:move_EAttribute_to_neighbour;0,001;1231;rr:setEReference_eOpposite_TO_EReference;2604;rr:createEAnnotation_IN_EModelElement;1593,866;4199;rr:setEReference_eOpposite_TO_EReference;15475;rr:createEAnnotation_IN_EModelElement;8470,324;4216;17901;7;0;25;8;0;1009;40;40;0;40;179;0;36;29;158;146;75;136;
174;1526;6482;175;1528;6494;N/A;2,944;28,590;0,008;rr:setEAttributeChangeable;0,397;rr:setEReferenceUpperBound;0,160;0,140;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;1238;rr:setEReference_eOpposite_TO_EReference;2619;rr:createEAnnotation_IN_EModelElement;1600,274;4147;rr:setEReference_eOpposite_TO_EReference;15503;rr:createEAnnotation_IN_EModelElement;8443,436;4157;17697;1;0;3;0;0;1016;4;4;0;3;179;0;36;29;158;146;75;136;
175;1528;6494;176;1532;6511;N/A;2,997;29,398;0,009;rr:setEOperationName;0,410;rr:createEReferenceInEClass;0,164;0,141;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;1239;rr:setEReference_eOpposite_TO_EReference;2623;rr:createEAnnotation_IN_EModelElement;1603,123;4156;rr:setEReference_eOpposite_TO_EReference;15535;rr:createEAnnotation_IN_EModelElement;8464,955;4172;17759;2;0;6;0;0;1017;8;8;0;5;179;0;36;29;158;146;75;136;
176;1532;6511;177;1538;6552;N/A;2,983;28,638;0,008;rr:setEReferenceVolatile;0,390;rr:setEOperationOrdered;0,160;0,141;0;rr:setEEnumLiteralName;0,107;rr:move_EAttribute_to_neighbour;0,001;1243;rr:setEReference_eOpposite_TO_EReference;2630;rr:createEAnnotation_IN_EModelElement;1608,045;4189;rr:setEReference_eOpposite_TO_EReference;15604;rr:createEAnnotation_IN_EModelElement;8511,123;4200;17884;3;0;13;0;0;1019;16;16;0;12;179;0;36;29;158;146;75;136;
177;1538;6552;178;1541;6556;N/A;2,956;28,429;0,012;rr:setEAttributeOrdered;0,393;rr:generalizeReferenceType;0,159;0,127;0;rr:setEEnumLiteralName;0,106;rr:move_EAttribute_to_neighbour;0,001;1248;rr:setEReference_eOpposite_TO_EReference;2642;rr:createEAnnotation_IN_EModelElement;1610,726;4196;rr:setEReference_eOpposite_TO_EReference;15654;rr:createEAnnotation_IN_EModelElement;8516,894;4194;17862;3;0;4;0;1;1022;8;8;0;5;179;0;36;29;158;146;75;136;
