Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Semantic Change Sets In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count;
gmfgen_1.207.ecore;1807;7649;gmfgen_1.208.ecore;1815;7681;-1;1,215;18,508;0;rr:rename_EReference;0,281;rr:moveEDataTypeRefEClassifiersToEPackage;0,119;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1471;rr:unsetEReferenceRefEOppositeToEReference;3154;rr:createEAnnotationInEModelElement;1910,051;4919;rr:unsetEReferenceRefEOppositeToEReference;18000;rr:createEAnnotationInEModelElement;10061,942;5307;22286;5;0;12;0;0;1214;17;15;2;6;156;0;27;25;137;136;73;137;
gmfgen_1.208.ecore;1815;7681;gmfgen_1.209.ecore;1797;7659;-1;1,700;19,816;0;rr:setEOperationName;0,344;rr:deleteEStringToStringMapEntryInEAnnotation;0,127;1,652;0;rr:deleteEOperationInEClass;0,686;rr:deleteOppositeReference;0,011;1458;rr:unsetEReferenceRefEOppositeToEReference;3149;rr:deleteEAnnotationInEModelElement;1900,942;5019;rr:unsetEReferenceRefEOppositeToEReference;18124;rr:deleteEAnnotationInEModelElement;10176,045;5406;22686;12;27;42;64;3;1192;148;138;10;73;156;0;27;25;137;136;73;137;
gmfgen_1.209.ecore;1797;7659;gmfgen_1.210.ecore;1791;7645;-1;1,249;18,835;0;rr:setEReferenceVolatile;0,265;rr:deleteBidirectionalReference;0,121;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1463;rr:unsetEReferenceRefEOppositeToEReference;3124;rr:deleteEAnnotationInEModelElement;1897,282;4917;rr:unsetEReferenceRefEOppositeToEReference;17942;rr:deleteEAnnotationInEModelElement;10044,308;5263;22237;0;5;4;11;4;1198;24;24;0;14;156;0;27;25;137;136;73;137;
gmfgen_1.210.ecore;1791;7645;gmfgen_1.211.ecore;1791;7645;-1;1,186;17,768;0;rr:rename_EDataType;0,265;rr:moveEDataTypeRefEClassifiersToEPackage;0,114;0,015;0;rr:deleteEOperationInEClass;0,015;rr:setEClassAbstract;0,000;1463;rr:unsetEReferenceRefEOppositeToEReference;3113;rr:createEAnnotationInEModelElement;1895,071;4916;rr:unsetEReferenceRefEOppositeToEReference;17904;rr:createEAnnotationInEModelElement;10032,769;5255;22225;0;0;0;0;22;1198;22;22;0;22;156;0;27;25;137;136;73;137;
gmfgen_1.211.ecore;1791;7645;gmfgen_1.212.ecore;1795;7662;-1;1,294;17,986;0;rr:rename_eattribute;0,266;rr:setEDataTypeInstanceClassName;0,115;0;0;rr:setEReferenceDefaultValueLiteral;0;rr:setEReferenceDefaultValueLiteral;0;1463;rr:unsetEReferenceRefEOppositeToEReference;3115;rr:createEAnnotationInEModelElement;1896,987;4902;rr:unsetEReferenceRefEOppositeToEReference;17903;rr:createEAnnotationInEModelElement;10029,160;5245;22182;2;0;6;0;0;1198;8;8;0;3;156;0;27;25;137;136;73;137;
gmfgen_1.212.ecore;1795;7662;gmfgen_1.213.ecore;1817;7778;-1;1,172;18,298;0;rr:rename_EOperation;0,281;rr:deleteEReferenceInEClass;0,117;0,063;0;rr:deleteEOperationInEClass;0,063;rr:extractSuperEClass;0,000;1465;rr:unsetEReferenceRefEOppositeToEReference;3130;rr:createEAnnotationInEModelElement;1909,160;4944;rr:unsetEReferenceRefEOppositeToEReference;18052;rr:createEAnnotationInEModelElement;10134,987;5309;22447;11;0;33;0;0;1200;44;44;0;17;156;0;27;25;137;136;73;137;
gmfgen_1.213.ecore;1817;7778;gmfgen_1.214.ecore;1821;7798;-1;1,200;17,919;0;rr:setEAttributeVolatile;0,281;rr:deleteBidirectionalReference;0,115;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1476;rr:unsetEReferenceRefEOppositeToEReference;3154;rr:createEAnnotationInEModelElement;1922,231;4943;rr:unsetEReferenceRefEOppositeToEReference;18161;rr:createEAnnotationInEModelElement;10175,128;5312;22498;2;0;6;0;2;1211;10;9;1;4;156;0;27;25;137;136;73;137;
gmfgen_1.214.ecore;1821;7798;gmfgen_1.215.ecore;1825;7815;-1;1,246;18,173;0;rr:moveEDataTypeRefEClassifiersToEPackage;0,281;rr:setEParameterUpperBound;0,116;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1478;rr:unsetEReferenceRefEOppositeToEReference;3160;rr:createEAnnotationInEModelElement;1925,538;4947;rr:unsetEReferenceRefEOppositeToEReference;18194;rr:createEAnnotationInEModelElement;10191,327;5320;22533;2;0;6;0;0;1213;8;8;0;3;156;0;27;25;137;136;73;137;
gmfgen_1.215.ecore;1825;7815;gmfgen_1.216.ecore;1825;7815;-1;1,245;18,951;0;rr:setEReferenceUnique;0,281;rr:moveEDataTypeRefEClassifiersToEPackage;0,121;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1480;rr:unsetEReferenceRefEOppositeToEReference;3164;rr:createEAnnotationInEModelElement;1928,487;4953;rr:unsetEReferenceRefEOppositeToEReference;18213;rr:createEAnnotationInEModelElement;10203,821;5326;22560;0;0;4;4;0;1215;8;8;0;2;156;0;27;25;137;136;73;137;
gmfgen_1.216.ecore;1825;7815;gmfgen_1.217.ecore;1825;7815;-1;1,201;18,347;0;rr:generalizeEAttributeLowerBound;0,281;rr:setETypeParameterName;0,118;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1480;rr:unsetEReferenceRefEOppositeToEReference;3164;rr:createEAnnotationInEModelElement;1926,769;4946;rr:unsetEReferenceRefEOppositeToEReference;18206;rr:createEAnnotationInEModelElement;10190,333;5319;22532;0;0;0;0;1;1215;1;1;0;1;156;0;27;25;137;136;73;137;
