Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Semantic Change Sets In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count;
gmfgen_1.218.ecore;1837;7851;gmfgen_1.219.ecore;1834;7845;0;0,187;0,139;0;rr:moveEEnumLiteralRefELiteralsToEEnum;0,016;rr:moveEClassRefEClassifiersToEPackage;0,007;0,048;0;rr:unsetEOperationRefETypeToEClassifier;0,016;rr:moveEEnumLiteralRefELiteralsToEEnum;0,002;1527;rr:deleteEEnumInEPackage;2227;rr:setEStringToStringMapEntryValue;1823,190;5451;rr:createEEnumLiteralInEEnum;14595;rr:change_eoperation_type;10922,143;5386;22754;5;8;12;18;2;1217;45;0;45;0;21;135;2;5;19;25;2;14;
gmfgen_1.219.ecore;1834;7845;gmfgen_1.220.ecore;1840;7873;0;0,126;0,079;0;rr:addGeneralization;0,016;rr:create_sub_EClass;0,006;0,047;0;rr:addGeneralization;0,047;rr:extractSuperEClass;0,004;1742;rr:addGeneralization;2561;rr:extractSubEClass;2033,538;5882;rr:setEAttributeChangeable;17009;rr:extractSubEClass;13636,077;5362;22683;3;0;9;0;1;1222;13;0;13;0;13;143;9;0;26;0;2;4;
gmfgen_1.220.ecore;1840;7873;gmfgen_1.221.ecore;1844;7893;0;0,047;0,047;0;rr:createEOperationInEClass;0,016;rr:createEAttributeAsiDInEClass;0,012;0;0;rr:createEAttributeAsiDInEClass;0;rr:createEAttributeAsiDInEClass;0;2028;rr:createEOperationInEClass;2323;rr:createEAttributeAsiDInEClass;2185;14388;rr:createEOperationInEClass;15941;rr:createEAttributeAsiDInEClass;15222,250;5370;22722;2;0;6;0;0;1225;8;0;8;0;4;152;3;0;9;0;0;0;
gmfgen_1.221.ecore;1844;7893;gmfgen_1.222.ecore;1838;7858;0;0,358;0,217;0;rr:collect_EAttribute;0,016;rr:deleteEOperationInEClass;0,008;0,032;0;rr:deleteEOperationInEClass;0,016;rr:collect_EAttribute;0,001;1749;rr:generalizeReferenceType;3196;rr:createEAnnotationInEModelElement;2111,741;5887;rr:createEStringToStringMapEntryInEAnnotation;18379;rr:createEAnnotationInEModelElement;13637,111;5394;22799;4;6;9;18;1;1221;38;0;38;0;27;129;4;4;38;40;2;30;
gmfgen_1.222.ecore;1838;7858;gmfgen_1.223.ecore;1844;7874;0;0,047;0,047;0;rr:createEStringToStringMapEntryInEAnnotation;0,016;rr:createEOperationInEClass;0,009;0;0;rr:createEAnnotationInEModelElement;0;rr:createEAnnotationInEModelElement;0;2022;rr:createEOperationInEClass;3200;rr:createEAnnotationInEModelElement;2348,600;5878;rr:createEStringToStringMapEntryInEAnnotation;18351;rr:createEAnnotationInEModelElement;13566,200;5373;22704;4;0;9;0;0;1225;13;0;13;0;5;151;4;0;9;0;0;0;
gmfgen_1.223.ecore;1844;7874;gmfgen_1.224.ecore;1848;7894;0;0,031;0,031;0;rr:createEOperationInEClass;0,016;rr:setEOperationRefETypeToEClassifier;0,008;0;0;rr:createEAttributeAsiDInEClass;0;rr:createEAttributeAsiDInEClass;0;2030;rr:createEOperationInEClass;2327;rr:createEAttributeAsiDInEClass;2188;14386;rr:createEOperationInEClass;15943;rr:createEAttributeAsiDInEClass;15222,250;5382;22736;2;0;6;0;0;1229;8;0;8;0;4;152;3;0;9;0;0;0;
gmfgen_1.224.ecore;1848;7894;gmfgen_1.225.ecore;1852;7914;0;0,047;0,031;0;rr:createEAttributeAsiDInEClass;0,016;rr:createEAttributeInEClass;0,008;0;0;rr:createEAttributeAsiDInEClass;0;rr:createEAttributeAsiDInEClass;0;2034;rr:createEOperationInEClass;2331;rr:createEAttributeAsiDInEClass;2192;14416;rr:createEOperationInEClass;15975;rr:createEAttributeAsiDInEClass;15253,250;5392;22782;2;0;6;0;0;1231;8;0;8;0;4;152;3;0;9;0;0;0;
gmfgen_1.225.ecore;1852;7914;gmfgen_1.226.ecore;1855;7922;0;0,219;0,203;0;rr:setETypeParameterName;0,016;rr:rename_EPackage;0,007;0,016;0;rr:setEEnumName;0,016;rr:setEParameterName;0,001;1756;rr:removeFromEClassRefESuperTypesToEClass;2077;rr:setEOperationRefETypeToEClassifier;1905,419;5938;rr:setEAttributeName;14677;rr:setEOperationRefETypeToEClassifier;9889,806;5407;22840;2;0;8;1;3;1233;14;0;14;0;31;125;5;0;22;2;24;26;
gmfgen_1.226.ecore;1855;7922;gmfgen_1.227.ecore;1859;7935;0;0,032;0,032;0;rr:setEOperationRefETypeToEClassifier;0,016;rr:createEOperationInEClass;0,011;0;0;rr:createEOperationInEClass;0;rr:createEOperationInEClass;0;2042;rr:createEOperationInEClass;2106;rr:createEParameterInEOperation;2076,667;14450;rr:createEOperationInEClass;14763;rr:createEParameterInEOperation;14634;5410;22843;2;0;6;0;0;1235;8;0;8;0;3;153;2;0;6;0;0;0;
gmfgen_1.227.ecore;1859;7935;gmfgen_1.228.ecore;1864;7977;0;0,047;0,032;0;rr:createEAnnotationInEModelElement;0,016;rr:createEStringToStringMapEntryInEAnnotation;0,008;0;0;rr:createEAnnotationInEModelElement;0;rr:createEAnnotationInEModelElement;0;1768;rr:createEReferenceInEClass;3233;rr:createEAnnotationInEModelElement;2371,250;5945;rr:createEStringToStringMapEntryInEAnnotation;18531;rr:createEAnnotationInEModelElement;13200,250;5424;22912;4;0;7;0;0;1237;11;0;11;0;4;152;3;0;7;0;0;0;
